"Uwi","Core.TOC","Core.RoMeasured","Producer.oilApiGravity","Core.GriSaturationsSo","Core.ln_formationThickness","Core.GriTotalPorosity","Core.XrdQuartz","Producer.mudPressure","Rules.Prediction","Kaggle.Prediction","Target"
"42013342710000",3.232119634,0.804061841,29.5,31.99946435,4.687446422,6.352679109,13.75045925,0.52,0,13.9688709629419,6.37128855577976
"42013342730000",3.310496195,0.985654275,42.3,32.95022192,5.164931064,7.137524724,13.72734775,0.575310953,250,9.45796405072098,6.11710157429372
"42013342780100",3.346269391,1.005922004,37.5,32.44502969,5.166827868,7.202578898,13.82729277,0.578801173,250,8.27546821366854,11.050645994832
"42013342820000",3.322226369,0.994477592,36.9,32.70898117,5.16545476,7.151049674,13.7654844,0.576069776,200,8.91154035575149,6.3106449453247
"42013342840000",3.315798764,0.992343569,36.1,32.71053925,5.162779617,7.128595155,13.75959682,0.575305359,200,9.25889239167207,1.32613438045375
"42013342850000",3.314567008,0.993409971,34.9,32.63286225,5.160430338,7.115780017,13.76829255,0.574992373,150,9.24248077738841,9.41350792556857
"42013342900000",3.317392352,0.99495431,37.5,32.60944715,5.161570412,7.123041354,13.7726898,0.575276832,200,9.13953424579313,11.7762008733624
"42013342910100",3.341664717,1.158299919,40.93,26.85342229,5.121255778,7.251940534,14.83341422,0.588771571,300,10.8848345860198,12.9685840707965
"42013343060000",3.353293398,1.187880941,45.4,26.05058024,5.160437354,7.348296987,14.91951207,0.586418508,300,13.3162140316593,8.42921942921943
"42013343070000",3.2943384,1.198818247,44.4,26.29626977,5.195325725,7.309933348,14.81724137,0.587674574,300,14.1702922771446,19.3669546436285
"42013343140100",3.109370375,0.859024363,32,37.3953386,5.19716829,7.308042369,12.81623835,0.557825006,100,12.1464297455413,11.6777415018245
"42013343150000",3.038785542,0.839780283,32.4,38.0972593,5.199188246,7.325806191,12.55347552,0.551776983,100,13.0682876164915,6.75728597449909
"42013343160000",3.37749638,1.025930641,37,31.83218193,5.164784164,7.231504637,13.93529961,0.582920192,250,9.13072188145666,2.22006472491909
"42013343180000",3.472119287,1.204768413,40.8,25.89066539,5.217908524,7.195589186,14.54963865,0.594698705,300,11.9884417193473,12.4323570432357
"42013343190000",3.162691906,0.743417138,32,37.01992613,4.979861046,6.67660776,13.15556811,0.539637539,-50,20.2060345556488,4.09722222222222
"42013343210000",3.456817684,1.208429549,NA,25.70457085,5.220620672,7.202669861,14.60156246,0.59279998,100,12.3058745806751,9.52371952371952
"42013343220000",3.448677292,1.185659783,43,26.47732347,5.203891345,7.173242244,14.50170715,0.56160001,300,11.9552225784483,8.37460876369327
"42013343230000",3.406768068,1.16443953,42.65,27.03485081,5.183531975,7.143718831,14.48553922,0.57720002,300,10.1162583584943,16.5364077669903
"42013343260000",3.349728593,1.031437548,45,29.17765774,4.939217975,6.869092836,14.53981957,0.579984982,250,10.4552579149414,10.3305405405405
"42013343290000",3.04966976,0.731104005,33.7,40.4726415,5.259432513,7.012945231,12.78080181,0.542356806,0,15.8841334775783,4.8821328344247
"42013343320000",3.186493477,0.881785806,36.67,36.33605774,5.196826406,7.176431566,13.13596898,0.560721925,150,11.9176072679828,9.01330838012061
"42013343330000",3.355422058,1.030085145,40,29.16979104,4.932512267,6.866855933,14.55774737,0.579954462,200,10.6926291976536,9.88307349665924
"42013343340100",2.859675364,0.794783328,35.6,38.57923114,5.198052793,7.240718906,11.81362974,0.549958615,50,12.2294413602417,3.428306780289
"42013343350000",3.345042328,1.021202727,37,29.34556842,4.92766934,6.837670942,14.50091049,0.576854677,200,11.5477387703209,4.86323615730777
"42013343380000",3.452537843,1.166258858,47.8,25.89493037,5.098931273,7.424265918,15.09169671,0.584787278,300,12.0111001537053,16.3550177619893
"42013343400000",3.471785057,1.200492542,44.12,26.04604605,5.214768376,7.191353195,14.52859433,0.594480379,300,11.9621321199282,11.7257373929591
"42013343410000",3.43220385,1.169840727,42.5,25.92621881,5.109793365,7.404286612,15.05493019,0.58521104,300,12.2934482738275,17.2353522867738
"42013343420000",3.432654071,1.169696446,41.5,25.92712822,5.109450936,7.404528814,15.05563724,0.585210776,300,12.3984585365634,15.2918280008152
"42013343430000",3.390825971,1.222145931,44,25.24859494,5.228736412,7.289558685,14.79436526,0.60320002,300,12.8364187967128,14.3744302148904
"42013343440000",3.379409593,1.220880573,43,25.31398502,5.226501523,7.298229936,14.80606984,0.588278082,300,11.9854978773119,26.1916221033868
"42013343470000",3.451306852,1.190659658,47,26.31184224,5.207330806,7.178825372,14.52133766,0.592961916,300,11.9925564302921,10.5610296624616
"42013343490000",3.362688683,1.049003974,41.6,28.85335479,4.956058103,6.929275661,14.62386246,0.586163409,250,9.98940521210809,12.4773237539291
"42013343520000",3.362789227,1.048983219,41,28.85326903,4.955961276,6.929274079,14.62414999,0.586163957,250,10.1328534457356,6.92982456140351
